PopID,Block,Treatment,Year,Date,Month,Time,Data.Temp
B01,1,Control,Year 1,8/29/19,Aug,16:01,31.5
D13,3,Control,Year 1,8/29/19,Aug,16:01,31
G05,5,Control,Year 1,8/29/19,Aug,16:01,30.5
K04,7,Control,Year 1,8/29/19,Aug,16:01,31
B01,1,Control,Year 1,8/29/19,Aug,20:01,25.5
D13,3,Control,Year 1,8/29/19,Aug,20:01,27
G05,5,Control,Year 1,8/29/19,Aug,20:01,25
K04,7,Control,Year 1,8/29/19,Aug,20:01,26
A04,1,High Humidity,Year 1,8/29/19,Aug,0:01,21.5
C10,3,High Humidity,Year 1,8/29/19,Aug,0:01,23
J07,5,High Humidity,Year 1,8/29/19,Aug,0:01,22.5
L01,7,High Humidity,Year 1,8/29/19,Aug,0:01,23.5
A04,1,High Humidity,Year 1,8/29/19,Aug,4:01,19.5
C10,3,High Humidity,Year 1,8/29/19,Aug,4:01,21
J07,5,High Humidity,Year 1,8/29/19,Aug,4:01,20.5
L01,7,High Humidity,Year 1,8/29/19,Aug,4:01,22.5
A04,1,High Humidity,Year 1,8/29/19,Aug,8:01,19
C10,3,High Humidity,Year 1,8/29/19,Aug,8:01,20.5
J07,5,High Humidity,Year 1,8/29/19,Aug,8:01,19.5
L01,7,High Humidity,Year 1,8/29/19,Aug,8:01,21.5
A04,1,High Humidity,Year 1,8/29/19,Aug,12:01,31
C10,3,High Humidity,Year 1,8/29/19,Aug,12:01,30
J07,5,High Humidity,Year 1,8/29/19,Aug,12:01,29.5
L01,7,High Humidity,Year 1,8/29/19,Aug,12:01,26
A04,1,High Humidity,Year 1,8/29/19,Aug,16:01,34.5
C10,3,High Humidity,Year 1,8/29/19,Aug,16:01,34.5
J07,5,High Humidity,Year 1,8/29/19,Aug,16:01,34
L01,7,High Humidity,Year 1,8/29/19,Aug,16:01,29.5
A04,1,High Humidity,Year 1,8/29/19,Aug,20:01,24
C10,3,High Humidity,Year 1,8/29/19,Aug,20:01,25.5
J07,5,High Humidity,Year 1,8/29/19,Aug,20:01,24.5
L01,7,High Humidity,Year 1,8/29/19,Aug,20:01,25.5
A09,3,Native Soil,Year 1,8/29/19,Aug,0:01,22.5
D02,1,Native Soil,Year 1,8/29/19,Aug,0:01,22.5
J09,5,Native Soil,Year 1,8/29/19,Aug,0:01,23.5
L07,7,Native Soil,Year 1,8/29/19,Aug,0:01,23.5
A09,3,Native Soil,Year 1,8/29/19,Aug,4:01,20.5
D02,1,Native Soil,Year 1,8/29/19,Aug,4:01,20.5
J09,5,Native Soil,Year 1,8/29/19,Aug,4:01,21.5
L07,7,Native Soil,Year 1,8/29/19,Aug,4:01,21.5
A09,3,Native Soil,Year 1,8/29/19,Aug,8:01,20
D02,1,Native Soil,Year 1,8/29/19,Aug,8:01,20
J09,5,Native Soil,Year 1,8/29/19,Aug,8:01,20.5
L07,7,Native Soil,Year 1,8/29/19,Aug,8:01,20.5
A09,3,Native Soil,Year 1,8/29/19,Aug,12:01,28
D02,1,Native Soil,Year 1,8/29/19,Aug,12:01,29
J09,5,Native Soil,Year 1,8/29/19,Aug,12:01,28.5
L07,7,Native Soil,Year 1,8/29/19,Aug,12:01,28
A09,3,Native Soil,Year 1,8/29/19,Aug,16:01,36
D02,1,Native Soil,Year 1,8/29/19,Aug,16:01,36
J09,5,Native Soil,Year 1,8/29/19,Aug,16:01,31
L07,7,Native Soil,Year 1,8/29/19,Aug,16:01,32
A09,3,Native Soil,Year 1,8/29/19,Aug,20:01,26.5
D02,1,Native Soil,Year 1,8/29/19,Aug,20:01,25.5
J09,5,Native Soil,Year 1,8/29/19,Aug,20:01,25.5
L07,7,Native Soil,Year 1,8/29/19,Aug,20:01,26
A00,1,Litter,Year 1,8/29/19,Aug,0:01,22.5
B13,3,Litter,Year 1,8/29/19,Aug,0:01,22.5
H06,5,Litter,Year 1,8/29/19,Aug,0:01,23.5
K06,7,Litter,Year 1,8/29/19,Aug,0:01,23.5
A00,1,Litter,Year 1,8/29/19,Aug,4:01,20.5
B13,3,Litter,Year 1,8/29/19,Aug,4:01,20.5
H06,5,Litter,Year 1,8/29/19,Aug,4:01,22.5
K06,7,Litter,Year 1,8/29/19,Aug,4:01,22
A00,1,Litter,Year 1,8/29/19,Aug,8:01,20
B13,3,Litter,Year 1,8/29/19,Aug,8:01,20
H06,5,Litter,Year 1,8/29/19,Aug,8:01,21.5
K06,7,Litter,Year 1,8/29/19,Aug,8:01,21
A00,1,Litter,Year 1,8/29/19,Aug,12:01,30.5
B13,3,Litter,Year 1,8/29/19,Aug,12:01,28.5
H06,5,Litter,Year 1,8/29/19,Aug,12:01,25
K06,7,Litter,Year 1,8/29/19,Aug,12:01,26.5
A00,1,Litter,Year 1,8/29/19,Aug,16:01,30.5
B13,3,Litter,Year 1,8/29/19,Aug,16:01,34
H06,5,Litter,Year 1,8/29/19,Aug,16:01,30.5
K06,7,Litter,Year 1,8/29/19,Aug,16:01,32
A00,1,Litter,Year 1,8/29/19,Aug,20:01,24.5
B13,3,Litter,Year 1,8/29/19,Aug,20:01,25
H06,5,Litter,Year 1,8/29/19,Aug,20:01,25
K06,7,Litter,Year 1,8/29/19,Aug,20:01,26
B01,1,Control,Year 1,8/30/19,Aug,0:01,22.5
D13,3,Control,Year 1,8/30/19,Aug,0:01,23.5
G05,5,Control,Year 1,8/30/19,Aug,0:01,22
K04,7,Control,Year 1,8/30/19,Aug,0:01,23
B01,1,Control,Year 1,8/30/19,Aug,4:01,21
D13,3,Control,Year 1,8/30/19,Aug,4:01,22.5
G05,5,Control,Year 1,8/30/19,Aug,4:01,21
K04,7,Control,Year 1,8/30/19,Aug,4:01,22
B01,1,Control,Year 1,8/30/19,Aug,8:01,20
D13,3,Control,Year 1,8/30/19,Aug,8:01,21.5
G05,5,Control,Year 1,8/30/19,Aug,8:01,21
K04,7,Control,Year 1,8/30/19,Aug,8:01,21
B01,1,Control,Year 1,8/30/19,Aug,12:01,27.5
D13,3,Control,Year 1,8/30/19,Aug,12:01,26
G05,5,Control,Year 1,8/30/19,Aug,12:01,27.5
K04,7,Control,Year 1,8/30/19,Aug,12:01,26.5
B01,1,Control,Year 1,8/30/19,Aug,16:01,31.5
D13,3,Control,Year 1,8/30/19,Aug,16:01,31
G05,5,Control,Year 1,8/30/19,Aug,16:01,31
K04,7,Control,Year 1,8/30/19,Aug,16:01,31
B01,1,Control,Year 1,8/30/19,Aug,20:01,26
D13,3,Control,Year 1,8/30/19,Aug,20:01,27
G05,5,Control,Year 1,8/30/19,Aug,20:01,25
K04,7,Control,Year 1,8/30/19,Aug,20:01,26.5
A04,1,High Humidity,Year 1,8/30/19,Aug,0:01,20
C10,3,High Humidity,Year 1,8/30/19,Aug,0:01,21.5
J07,5,High Humidity,Year 1,8/30/19,Aug,0:01,20.5
L01,7,High Humidity,Year 1,8/30/19,Aug,0:01,23
A04,1,High Humidity,Year 1,8/30/19,Aug,4:01,18.5
C10,3,High Humidity,Year 1,8/30/19,Aug,4:01,20
J07,5,High Humidity,Year 1,8/30/19,Aug,4:01,19
L01,7,High Humidity,Year 1,8/30/19,Aug,4:01,21.5
A04,1,High Humidity,Year 1,8/30/19,Aug,8:01,19
C10,3,High Humidity,Year 1,8/30/19,Aug,8:01,20
J07,5,High Humidity,Year 1,8/30/19,Aug,8:01,19
L01,7,High Humidity,Year 1,8/30/19,Aug,8:01,21
A04,1,High Humidity,Year 1,8/30/19,Aug,12:01,31.5
C10,3,High Humidity,Year 1,8/30/19,Aug,12:01,30.5
J07,5,High Humidity,Year 1,8/30/19,Aug,12:01,30
L01,7,High Humidity,Year 1,8/30/19,Aug,12:01,26.5
A04,1,High Humidity,Year 1,8/30/19,Aug,16:01,34.5
C10,3,High Humidity,Year 1,8/30/19,Aug,16:01,35
J07,5,High Humidity,Year 1,8/30/19,Aug,16:01,34.5
L01,7,High Humidity,Year 1,8/30/19,Aug,16:01,29.5
A04,1,High Humidity,Year 1,8/30/19,Aug,20:01,24.5
C10,3,High Humidity,Year 1,8/30/19,Aug,20:01,26
J07,5,High Humidity,Year 1,8/30/19,Aug,20:01,25
L01,7,High Humidity,Year 1,8/30/19,Aug,20:01,25.5
A09,3,Native Soil,Year 1,8/30/19,Aug,0:01,22
D02,1,Native Soil,Year 1,8/30/19,Aug,0:01,21.5
J09,5,Native Soil,Year 1,8/30/19,Aug,0:01,22
L07,7,Native Soil,Year 1,8/30/19,Aug,0:01,22
A09,3,Native Soil,Year 1,8/30/19,Aug,4:01,20
D02,1,Native Soil,Year 1,8/30/19,Aug,4:01,19.5
J09,5,Native Soil,Year 1,8/30/19,Aug,4:01,20.5
L07,7,Native Soil,Year 1,8/30/19,Aug,4:01,20.5
A09,3,Native Soil,Year 1,8/30/19,Aug,8:01,19.5
D02,1,Native Soil,Year 1,8/30/19,Aug,8:01,19.5
J09,5,Native Soil,Year 1,8/30/19,Aug,8:01,20
L07,7,Native Soil,Year 1,8/30/19,Aug,8:01,20
A09,3,Native Soil,Year 1,8/30/19,Aug,12:01,30
D02,1,Native Soil,Year 1,8/30/19,Aug,12:01,30
J09,5,Native Soil,Year 1,8/30/19,Aug,12:01,28.5
L07,7,Native Soil,Year 1,8/30/19,Aug,12:01,28
A09,3,Native Soil,Year 1,8/30/19,Aug,16:01,37
D02,1,Native Soil,Year 1,8/30/19,Aug,16:01,38
J09,5,Native Soil,Year 1,8/30/19,Aug,16:01,34
L07,7,Native Soil,Year 1,8/30/19,Aug,16:01,34
A09,3,Native Soil,Year 1,8/30/19,Aug,20:01,27.5
D02,1,Native Soil,Year 1,8/30/19,Aug,20:01,27
J09,5,Native Soil,Year 1,8/30/19,Aug,20:01,27
L07,7,Native Soil,Year 1,8/30/19,Aug,20:01,27
A00,1,Litter,Year 1,8/30/19,Aug,0:01,21
B13,3,Litter,Year 1,8/30/19,Aug,0:01,21
H06,5,Litter,Year 1,8/30/19,Aug,0:01,22.5
K06,7,Litter,Year 1,8/30/19,Aug,0:01,22.5
A00,1,Litter,Year 1,8/30/19,Aug,4:01,20
B13,3,Litter,Year 1,8/30/19,Aug,4:01,19.5
H06,5,Litter,Year 1,8/30/19,Aug,4:01,21.5
K06,7,Litter,Year 1,8/30/19,Aug,4:01,21
A00,1,Litter,Year 1,8/30/19,Aug,8:01,19.5
B13,3,Litter,Year 1,8/30/19,Aug,8:01,19.5
H06,5,Litter,Year 1,8/30/19,Aug,8:01,20.5
K06,7,Litter,Year 1,8/30/19,Aug,8:01,20.5
A00,1,Litter,Year 1,8/30/19,Aug,12:01,30.5
B13,3,Litter,Year 1,8/30/19,Aug,12:01,29
H06,5,Litter,Year 1,8/30/19,Aug,12:01,25
K06,7,Litter,Year 1,8/30/19,Aug,12:01,27
A00,1,Litter,Year 1,8/30/19,Aug,16:01,31
B13,3,Litter,Year 1,8/30/19,Aug,16:01,34.5
H06,5,Litter,Year 1,8/30/19,Aug,16:01,30.5
K06,7,Litter,Year 1,8/30/19,Aug,16:01,32.5
A00,1,Litter,Year 1,8/30/19,Aug,20:01,25
B13,3,Litter,Year 1,8/30/19,Aug,20:01,25.5
H06,5,Litter,Year 1,8/30/19,Aug,20:01,25.5
K06,7,Litter,Year 1,8/30/19,Aug,20:01,26.5
B01,1,Control,Year 1,8/31/19,Aug,0:01,23
D13,3,Control,Year 1,8/31/19,Aug,0:01,24.5
G05,5,Control,Year 1,8/31/19,Aug,0:01,23
K04,7,Control,Year 1,8/31/19,Aug,0:01,23.5
B01,1,Control,Year 1,8/31/19,Aug,4:01,21.5
D13,3,Control,Year 1,8/31/19,Aug,4:01,23
G05,5,Control,Year 1,8/31/19,Aug,4:01,21.5
K04,7,Control,Year 1,8/31/19,Aug,4:01,22.5
B01,1,Control,Year 1,8/31/19,Aug,8:01,21
D13,3,Control,Year 1,8/31/19,Aug,8:01,22
G05,5,Control,Year 1,8/31/19,Aug,8:01,21.5
K04,7,Control,Year 1,8/31/19,Aug,8:01,21.5
B01,1,Control,Year 1,8/31/19,Aug,12:01,28
D13,3,Control,Year 1,8/31/19,Aug,12:01,26.5
G05,5,Control,Year 1,8/31/19,Aug,12:01,28.5
K04,7,Control,Year 1,8/31/19,Aug,12:01,27.5
B01,1,Control,Year 1,8/31/19,Aug,16:01,31.5
D13,3,Control,Year 1,8/31/19,Aug,16:01,31.5
G05,5,Control,Year 1,8/31/19,Aug,16:01,31
K04,7,Control,Year 1,8/31/19,Aug,16:01,31.5
B01,1,Control,Year 1,8/31/19,Aug,20:01,26.5
D13,3,Control,Year 1,8/31/19,Aug,20:01,27.5
G05,5,Control,Year 1,8/31/19,Aug,20:01,25.5
K04,7,Control,Year 1,8/31/19,Aug,20:01,26.5
A04,1,High Humidity,Year 1,8/31/19,Aug,0:01,21.5
C10,3,High Humidity,Year 1,8/31/19,Aug,0:01,22.5
J07,5,High Humidity,Year 1,8/31/19,Aug,0:01,21.5
L01,7,High Humidity,Year 1,8/31/19,Aug,0:01,23.5
A04,1,High Humidity,Year 1,8/31/19,Aug,4:01,20
C10,3,High Humidity,Year 1,8/31/19,Aug,4:01,21
J07,5,High Humidity,Year 1,8/31/19,Aug,4:01,20
L01,7,High Humidity,Year 1,8/31/19,Aug,4:01,22
A04,1,High Humidity,Year 1,8/31/19,Aug,8:01,20
C10,3,High Humidity,Year 1,8/31/19,Aug,8:01,21
J07,5,High Humidity,Year 1,8/31/19,Aug,8:01,19.5
L01,7,High Humidity,Year 1,8/31/19,Aug,8:01,21.5
A04,1,High Humidity,Year 1,8/31/19,Aug,12:01,31.5
C10,3,High Humidity,Year 1,8/31/19,Aug,12:01,31.5
J07,5,High Humidity,Year 1,8/31/19,Aug,12:01,31
L01,7,High Humidity,Year 1,8/31/19,Aug,12:01,27
A04,1,High Humidity,Year 1,8/31/19,Aug,16:01,34.5
C10,3,High Humidity,Year 1,8/31/19,Aug,16:01,35
J07,5,High Humidity,Year 1,8/31/19,Aug,16:01,34.5
L01,7,High Humidity,Year 1,8/31/19,Aug,16:01,30
A04,1,High Humidity,Year 1,8/31/19,Aug,20:01,25
C10,3,High Humidity,Year 1,8/31/19,Aug,20:01,26.5
J07,5,High Humidity,Year 1,8/31/19,Aug,20:01,25.5
L01,7,High Humidity,Year 1,8/31/19,Aug,20:01,26
A09,3,Native Soil,Year 1,8/31/19,Aug,0:01,23.5
D02,1,Native Soil,Year 1,8/31/19,Aug,0:01,23
J09,5,Native Soil,Year 1,8/31/19,Aug,0:01,23
L07,7,Native Soil,Year 1,8/31/19,Aug,0:01,23.5
A09,3,Native Soil,Year 1,8/31/19,Aug,4:01,21.5
D02,1,Native Soil,Year 1,8/31/19,Aug,4:01,21
J09,5,Native Soil,Year 1,8/31/19,Aug,4:01,21.5
L07,7,Native Soil,Year 1,8/31/19,Aug,4:01,22
A09,3,Native Soil,Year 1,8/31/19,Aug,8:01,20.5
D02,1,Native Soil,Year 1,8/31/19,Aug,8:01,20.5
J09,5,Native Soil,Year 1,8/31/19,Aug,8:01,20.5
L07,7,Native Soil,Year 1,8/31/19,Aug,8:01,21
A09,3,Native Soil,Year 1,8/31/19,Aug,12:01,31.5
D02,1,Native Soil,Year 1,8/31/19,Aug,12:01,31.5
J09,5,Native Soil,Year 1,8/31/19,Aug,12:01,30
L07,7,Native Soil,Year 1,8/31/19,Aug,12:01,30
A09,3,Native Soil,Year 1,8/31/19,Aug,16:01,38
D02,1,Native Soil,Year 1,8/31/19,Aug,16:01,39
J09,5,Native Soil,Year 1,8/31/19,Aug,16:01,35
L07,7,Native Soil,Year 1,8/31/19,Aug,16:01,35
A09,3,Native Soil,Year 1,8/31/19,Aug,20:01,28.5
D02,1,Native Soil,Year 1,8/31/19,Aug,20:01,28
J09,5,Native Soil,Year 1,8/31/19,Aug,20:01,28
L07,7,Native Soil,Year 1,8/31/19,Aug,20:01,27.5
A00,1,Litter,Year 1,8/31/19,Aug,0:01,22
B13,3,Litter,Year 1,8/31/19,Aug,0:01,22
H06,5,Litter,Year 1,8/31/19,Aug,0:01,23
K06,7,Litter,Year 1,8/31/19,Aug,0:01,23
A00,1,Litter,Year 1,8/31/19,Aug,4:01,20.5
B13,3,Litter,Year 1,8/31/19,Aug,4:01,20.5
H06,5,Litter,Year 1,8/31/19,Aug,4:01,22
K06,7,Litter,Year 1,8/31/19,Aug,4:01,21.5
A00,1,Litter,Year 1,8/31/19,Aug,8:01,20.5
B13,3,Litter,Year 1,8/31/19,Aug,8:01,20.5
H06,5,Litter,Year 1,8/31/19,Aug,8:01,21
K06,7,Litter,Year 1,8/31/19,Aug,8:01,21
A00,1,Litter,Year 1,8/31/19,Aug,12:01,31.5
B13,3,Litter,Year 1,8/31/19,Aug,12:01,30
H06,5,Litter,Year 1,8/31/19,Aug,12:01,26
K06,7,Litter,Year 1,8/31/19,Aug,12:01,28
A00,1,Litter,Year 1,8/31/19,Aug,16:01,31.5
B13,3,Litter,Year 1,8/31/19,Aug,16:01,34.5
H06,5,Litter,Year 1,8/31/19,Aug,16:01,31
K06,7,Litter,Year 1,8/31/19,Aug,16:01,33
A00,1,Litter,Year 1,8/31/19,Aug,20:01,25.5
B13,3,Litter,Year 1,8/31/19,Aug,20:01,25.5
H06,5,Litter,Year 1,8/31/19,Aug,20:01,25.5
K06,7,Litter,Year 1,8/31/19,Aug,20:01,26.5
B01,1,Control,Year 1,9/1/19,Sept,0:01,23.5
D13,3,Control,Year 1,9/1/19,Sept,0:01,24.5
G05,5,Control,Year 1,9/1/19,Sept,0:01,23.5
K04,7,Control,Year 1,9/1/19,Sept,0:01,24
B01,1,Control,Year 1,9/1/19,Sept,4:01,22.5
D13,3,Control,Year 1,9/1/19,Sept,4:01,23.5
G05,5,Control,Year 1,9/1/19,Sept,4:01,22
K04,7,Control,Year 1,9/1/19,Sept,4:01,22.5
B01,1,Control,Year 1,9/1/19,Sept,8:01,21.5
D13,3,Control,Year 1,9/1/19,Sept,8:01,22.5
G05,5,Control,Year 1,9/1/19,Sept,8:01,22
K04,7,Control,Year 1,9/1/19,Sept,8:01,22
B01,1,Control,Year 1,9/1/19,Sept,12:01,27
D13,3,Control,Year 1,9/1/19,Sept,12:01,26.5
G05,5,Control,Year 1,9/1/19,Sept,12:01,27.5
K04,7,Control,Year 1,9/1/19,Sept,12:01,26.5
B01,1,Control,Year 1,9/1/19,Sept,16:01,31.5
D13,3,Control,Year 1,9/1/19,Sept,16:01,31
G05,5,Control,Year 1,9/1/19,Sept,16:01,30.5
K04,7,Control,Year 1,9/1/19,Sept,16:01,31
B01,1,Control,Year 1,9/1/19,Sept,20:01,26.5
D13,3,Control,Year 1,9/1/19,Sept,20:01,27
G05,5,Control,Year 1,9/1/19,Sept,20:01,25.5
K04,7,Control,Year 1,9/1/19,Sept,20:01,26.5
A04,1,High Humidity,Year 1,9/1/19,Sept,0:01,22
C10,3,High Humidity,Year 1,9/1/19,Sept,0:01,23
J07,5,High Humidity,Year 1,9/1/19,Sept,0:01,22
L01,7,High Humidity,Year 1,9/1/19,Sept,0:01,23.5
A04,1,High Humidity,Year 1,9/1/19,Sept,4:01,20.5
C10,3,High Humidity,Year 1,9/1/19,Sept,4:01,22
J07,5,High Humidity,Year 1,9/1/19,Sept,4:01,20.5
L01,7,High Humidity,Year 1,9/1/19,Sept,4:01,22.5
A04,1,High Humidity,Year 1,9/1/19,Sept,8:01,20.5
C10,3,High Humidity,Year 1,9/1/19,Sept,8:01,21.5
J07,5,High Humidity,Year 1,9/1/19,Sept,8:01,20
L01,7,High Humidity,Year 1,9/1/19,Sept,8:01,22
A04,1,High Humidity,Year 1,9/1/19,Sept,12:01,29.5
C10,3,High Humidity,Year 1,9/1/19,Sept,12:01,30
J07,5,High Humidity,Year 1,9/1/19,Sept,12:01,29
L01,7,High Humidity,Year 1,9/1/19,Sept,12:01,26
A04,1,High Humidity,Year 1,9/1/19,Sept,16:01,34
C10,3,High Humidity,Year 1,9/1/19,Sept,16:01,34.5
J07,5,High Humidity,Year 1,9/1/19,Sept,16:01,34
L01,7,High Humidity,Year 1,9/1/19,Sept,16:01,30
A04,1,High Humidity,Year 1,9/1/19,Sept,20:01,25.5
C10,3,High Humidity,Year 1,9/1/19,Sept,20:01,26.5
J07,5,High Humidity,Year 1,9/1/19,Sept,20:01,25.5
L01,7,High Humidity,Year 1,9/1/19,Sept,20:01,26
A09,3,Native Soil,Year 1,9/1/19,Sept,0:01,24
D02,1,Native Soil,Year 1,9/1/19,Sept,0:01,23.5
J09,5,Native Soil,Year 1,9/1/19,Sept,0:01,24
L07,7,Native Soil,Year 1,9/1/19,Sept,0:01,24
A09,3,Native Soil,Year 1,9/1/19,Sept,4:01,22
D02,1,Native Soil,Year 1,9/1/19,Sept,4:01,21.5
J09,5,Native Soil,Year 1,9/1/19,Sept,4:01,22
L07,7,Native Soil,Year 1,9/1/19,Sept,4:01,22.5
A09,3,Native Soil,Year 1,9/1/19,Sept,8:01,21.5
D02,1,Native Soil,Year 1,9/1/19,Sept,8:01,21
J09,5,Native Soil,Year 1,9/1/19,Sept,8:01,21.5
L07,7,Native Soil,Year 1,9/1/19,Sept,8:01,21.5
A09,3,Native Soil,Year 1,9/1/19,Sept,12:01,29.5
D02,1,Native Soil,Year 1,9/1/19,Sept,12:01,30
J09,5,Native Soil,Year 1,9/1/19,Sept,12:01,28.5
L07,7,Native Soil,Year 1,9/1/19,Sept,12:01,28.5
A09,3,Native Soil,Year 1,9/1/19,Sept,16:01,37
D02,1,Native Soil,Year 1,9/1/19,Sept,16:01,39
J09,5,Native Soil,Year 1,9/1/19,Sept,16:01,34.5
L07,7,Native Soil,Year 1,9/1/19,Sept,16:01,34.5
A09,3,Native Soil,Year 1,9/1/19,Sept,20:01,28.5
D02,1,Native Soil,Year 1,9/1/19,Sept,20:01,28
J09,5,Native Soil,Year 1,9/1/19,Sept,20:01,28
L07,7,Native Soil,Year 1,9/1/19,Sept,20:01,27.5
A00,1,Litter,Year 1,9/1/19,Sept,0:01,22.5
B13,3,Litter,Year 1,9/1/19,Sept,0:01,22.5
H06,5,Litter,Year 1,9/1/19,Sept,0:01,23.5
K06,7,Litter,Year 1,9/1/19,Sept,0:01,23.5
A00,1,Litter,Year 1,9/1/19,Sept,4:01,21.5
B13,3,Litter,Year 1,9/1/19,Sept,4:01,21
H06,5,Litter,Year 1,9/1/19,Sept,4:01,22
K06,7,Litter,Year 1,9/1/19,Sept,4:01,22
A00,1,Litter,Year 1,9/1/19,Sept,8:01,21
B13,3,Litter,Year 1,9/1/19,Sept,8:01,21
H06,5,Litter,Year 1,9/1/19,Sept,8:01,21.5
K06,7,Litter,Year 1,9/1/19,Sept,8:01,21
A00,1,Litter,Year 1,9/1/19,Sept,12:01,29.5
B13,3,Litter,Year 1,9/1/19,Sept,12:01,29
H06,5,Litter,Year 1,9/1/19,Sept,12:01,25.5
K06,7,Litter,Year 1,9/1/19,Sept,12:01,27
A00,1,Litter,Year 1,9/1/19,Sept,16:01,31.5
B13,3,Litter,Year 1,9/1/19,Sept,16:01,34
H06,5,Litter,Year 1,9/1/19,Sept,16:01,30.5
K06,7,Litter,Year 1,9/1/19,Sept,16:01,32.5
A00,1,Litter,Year 1,9/1/19,Sept,20:01,26
B13,3,Litter,Year 1,9/1/19,Sept,20:01,26
H06,5,Litter,Year 1,9/1/19,Sept,20:01,25.5
K06,7,Litter,Year 1,9/1/19,Sept,20:01,26.5
B01,1,Control,Year 1,9/2/19,Sept,0:01,24.5
D13,3,Control,Year 1,9/2/19,Sept,0:01,25
G05,5,Control,Year 1,9/2/19,Sept,0:01,24
K04,7,Control,Year 1,9/2/19,Sept,0:01,24.5
B01,1,Control,Year 1,9/2/19,Sept,4:01,23.5
D13,3,Control,Year 1,9/2/19,Sept,4:01,24
G05,5,Control,Year 1,9/2/19,Sept,4:01,23
K04,7,Control,Year 1,9/2/19,Sept,4:01,23.5
B01,1,Control,Year 1,9/2/19,Sept,8:01,23
D13,3,Control,Year 1,9/2/19,Sept,8:01,23.5
G05,5,Control,Year 1,9/2/19,Sept,8:01,23.5
K04,7,Control,Year 1,9/2/19,Sept,8:01,23
B01,1,Control,Year 1,9/2/19,Sept,12:01,28.5
D13,3,Control,Year 1,9/2/19,Sept,12:01,27.5
G05,5,Control,Year 1,9/2/19,Sept,12:01,29
K04,7,Control,Year 1,9/2/19,Sept,12:01,28
B01,1,Control,Year 1,9/2/19,Sept,16:01,32
D13,3,Control,Year 1,9/2/19,Sept,16:01,32
G05,5,Control,Year 1,9/2/19,Sept,16:01,31.5
K04,7,Control,Year 1,9/2/19,Sept,16:01,31.5
B01,1,Control,Year 1,9/2/19,Sept,20:01,27.5
D13,3,Control,Year 1,9/2/19,Sept,20:01,28
G05,5,Control,Year 1,9/2/19,Sept,20:01,26.5
K04,7,Control,Year 1,9/2/19,Sept,20:01,27
A04,1,High Humidity,Year 1,9/2/19,Sept,0:01,23.5
C10,3,High Humidity,Year 1,9/2/19,Sept,0:01,24.5
J07,5,High Humidity,Year 1,9/2/19,Sept,0:01,23.5
L01,7,High Humidity,Year 1,9/2/19,Sept,0:01,24.5
A04,1,High Humidity,Year 1,9/2/19,Sept,4:01,22
C10,3,High Humidity,Year 1,9/2/19,Sept,4:01,23
J07,5,High Humidity,Year 1,9/2/19,Sept,4:01,22
L01,7,High Humidity,Year 1,9/2/19,Sept,4:01,23.5
A04,1,High Humidity,Year 1,9/2/19,Sept,8:01,22.5
C10,3,High Humidity,Year 1,9/2/19,Sept,8:01,23.5
J07,5,High Humidity,Year 1,9/2/19,Sept,8:01,22.5
L01,7,High Humidity,Year 1,9/2/19,Sept,8:01,23
A04,1,High Humidity,Year 1,9/2/19,Sept,12:01,32
C10,3,High Humidity,Year 1,9/2/19,Sept,12:01,32.5
J07,5,High Humidity,Year 1,9/2/19,Sept,12:01,31.5
L01,7,High Humidity,Year 1,9/2/19,Sept,12:01,27.5
A04,1,High Humidity,Year 1,9/2/19,Sept,16:01,35
C10,3,High Humidity,Year 1,9/2/19,Sept,16:01,35.5
J07,5,High Humidity,Year 1,9/2/19,Sept,16:01,34.5
L01,7,High Humidity,Year 1,9/2/19,Sept,16:01,30.5
A04,1,High Humidity,Year 1,9/2/19,Sept,20:01,27
C10,3,High Humidity,Year 1,9/2/19,Sept,20:01,27.5
J07,5,High Humidity,Year 1,9/2/19,Sept,20:01,26.5
L01,7,High Humidity,Year 1,9/2/19,Sept,20:01,26.5
A09,3,Native Soil,Year 1,9/2/19,Sept,0:01,25
D02,1,Native Soil,Year 1,9/2/19,Sept,0:01,25
J09,5,Native Soil,Year 1,9/2/19,Sept,0:01,25
L07,7,Native Soil,Year 1,9/2/19,Sept,0:01,25
A09,3,Native Soil,Year 1,9/2/19,Sept,4:01,23.5
D02,1,Native Soil,Year 1,9/2/19,Sept,4:01,23
J09,5,Native Soil,Year 1,9/2/19,Sept,4:01,23.5
L07,7,Native Soil,Year 1,9/2/19,Sept,4:01,23.5
A09,3,Native Soil,Year 1,9/2/19,Sept,8:01,23
D02,1,Native Soil,Year 1,9/2/19,Sept,8:01,23
J09,5,Native Soil,Year 1,9/2/19,Sept,8:01,23
L07,7,Native Soil,Year 1,9/2/19,Sept,8:01,23.5
A09,3,Native Soil,Year 1,9/2/19,Sept,12:01,32.5
D02,1,Native Soil,Year 1,9/2/19,Sept,12:01,33
J09,5,Native Soil,Year 1,9/2/19,Sept,12:01,31
L07,7,Native Soil,Year 1,9/2/19,Sept,12:01,31.5
A09,3,Native Soil,Year 1,9/2/19,Sept,16:01,39
D02,1,Native Soil,Year 1,9/2/19,Sept,16:01,41
J09,5,Native Soil,Year 1,9/2/19,Sept,16:01,36.5
L07,7,Native Soil,Year 1,9/2/19,Sept,16:01,36.5
A09,3,Native Soil,Year 1,9/2/19,Sept,20:01,30
